"Third Party ID","VIN","Make","Model","Trim","Drive Type","Transmission Type","Year","Stock Number","Interior Type","Interior Color","Exterior Color","Cylinders","Cost","Wholesale","Retail","Mileage","Purchase Date","Video URL","Options","Images","Last Modified Date","Body Type","Engine","MPG City","MPG Highway","New / Used","MSRP","Image Last Modified Date","Comments And Default Sellers Notes","Certified Pre Owned"
"6329","K755S501600000000","Pontiac","Chieftain","2 door","RWD","Manual","1955","15243","Vinyl     ","Black","Black","8","39988","39988","39988","26626","4/9/2021 12:00:00 AM","","","http://imagescdn.dealercarsearch.com/Media/6329/17404195/637625391855010956.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900073855834.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900074947862.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900076195894.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900077287922.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900202247126.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900203495158.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900204587186.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900205679214.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900206771242.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900341870706.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900342962734.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900344210766.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900345302794.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900346550826.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900469169970.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900473850090.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900475098122.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900476190150.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637535900477438182.jpg,http://imagescdn.dealercarsearch.com/Media/6329/17404195/637624925104133534.jpg","1/5/2022 10:51:26 AM","Coupe","Select","","","Used","","7/22/2021 8:26:30 AM","1955 Pontiac Chieftain. Immaculate in every way possible. One of thee nicest Brilliant Black Paint jobs you will ever see. The chrome, trim, and glass near perfection. Brand new 18 American Racing Polished Aluminum Wheels with BF Goodrich tires. Oringinal 287 cubic Inch V8. 3 speed manual transmission with 3 on the tree shifter and a Ford 9 rear end. Inside is all stock, all black, and all new. Has Ice Cold Air Conditioning. Truly one of thee nicest 55 Pontiacs in the World! ","False"
"6329","A4318059000000000","Ford","Model A","Pickup","2WD","3 Speed Manual","1931","318059","Vinyl     ","Brown","Blue","4","44988","45988","44988","2347","12/8/2021 12:00:00 AM","","","http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872090499642.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872012465799.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872013565822.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872014905858.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872015595882.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872178147851.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872179707893.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872180898245.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872182442275.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872183532288.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872257270166.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872257960195.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872258810208.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292023/637745872259560228.jpg","1/5/2022 10:51:29 AM","Classic Car","Select","","","Used","","12/8/2021 7:07:06 PM","This is a very beautiful comprehensive restoration! You will turn heads in this historically beautiful 1931 Ford Model A Roadster Pickup Truck. It sports a rebuilt 4 cylinder engine paired with a manual 3-speed transmission. The body is blue with a black removable top. Gorgeous fog lamps and a newly restored wood bed. It has water temp and pressure gauges, new American Classic tires and windshield wiper, and 12-volt charging system! There was a lot of money put in this truck, so own it at a fraction! Own a piece of history today as it will not last!Come take a look or call 402-332-5868 before it is gone! ","False"
"6329","CS147J13341700000","Chevrolet","C10","Base","2WD","Automatic","1967","133417","Leather   ","Beige","Orange","8","39988","40988","39988","4359","12/8/2021 12:00:00 AM","","","http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745878898091465.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745878853631462.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745878854751506.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745878855861513.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745878856711532.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879010276032.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879011086058.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879012246075.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879013116107.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879014756133.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879143424005.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879144123990.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879145124020.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879146124048.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879147304076.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879193637846.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292102/637745879194547874.jpg","1/5/2022 10:51:30 AM","Pickup Truck","350 V8","","","Used","","12/8/2021 7:18:39 PM","Here we have a gorgeous frame off restoration of a 1967 Chevrolet C10 Pickup! Gorgeous orange paint on new tires and wheels. Really nice 350 cubic V8 paired with an automatic transmission. Lether bench seating with an AM/FM/CD player with power steering, cruise, and cold air conditioning. Gorgeous bed with a painted tonneau cover. This truck looks great and purs like a kitten. Come see it or call us now! ","False"
"6329","00000CS148S109243","Chevrolet","C10","Base","2WD","Automatic","1968","15812","Leather   ","Beige","Red","8","34988","35988","34988","25720","12/8/2021 12:00:00 AM","","","http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886210591465.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886198571141.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886200012947.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886200777069.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886201737081.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886365505666.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886366625703.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886367675724.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886368315747.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886369245779.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886523845614.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886524625656.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886525275665.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886525995669.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886526725688.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886644899014.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886645941045.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886646681064.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886647401084.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886648741122.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886691828437.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292131/637745886692518439.jpg","1/5/2022 10:51:30 AM","Pickup Truck","400","","","Used","","12/8/2021 7:31:09 PM","You have to see this gorgeous truck in person! 1968 Chevrolet C10 Pickup with a 400 CU inch engine with a 750 aluminum intake paired with a rebuilt automatic transmission with Hurst shifter.                                            This is a frame-off restoration with a 1988 Chevrolet step-side box, 4 flue radiator, 3.73 limited-slip differential, Ididit tilt steering column, custom built gas tank, front disc brakes, custom oak bed, custom single-piece door glass, painted tonneau cover, custom leather interior with bucket seats, under hood mirrors, updated modern radio with Bluetooth and an extra key! Come see this beauty today and start turning heads! ","False"
"6329","1HD1YDJ21KB036516","Harley-Davidson","FLSL","","RWD","6 Speed","2019","15803A2","Leather   ","Black","Black","0","13988","14988","13988","3370","12/27/2021 12:00:00 AM","","","http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596547596635.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596101731068.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596102561107.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596103371131.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596104121142.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596261287191.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596261987220.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596263237254.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596264407299.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596268651257.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18348608/637763596286365532.jpg","1/5/2022 10:51:30 AM","Motorcycle - Cruiser","107 v-twin","","","Used","","12/29/2021 7:27:35 AM","1746cc. Clean trade in! ","False"
"6329","00002W87Z8L136464","Pontiac","Trans Am","Coupe","2WD","Automatic","1978","15814","","Red","White","8","44988","45988","44988","48157","12/8/2021 12:00:00 AM","","","http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745895928544559.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745895861896518.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745895862856545.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745895863736589.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745895864666596.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896054453376.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896055430000.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896056480023.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896057180038.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896058230062.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896210504312.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896211184292.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896212064338.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896212754360.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896213804380.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896329534385.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896330504411.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896331534423.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896332314477.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896333885792.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896431482356.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896432898773.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896433758799.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18292151/637745896434888830.jpg","1/14/2022 4:59:41 PM","Coupe","Select","","","Used","","12/8/2021 7:47:23 PM","You have a chance to own this beautiful 1978 Pontiac Trans Am with numbers matching 400 CI L78 engine paired with an automatic transmission. Only 48k original miles! It drives and handles like it did when new. Original interior, a/c, tilt, cruise, AM/FM/8 track 3.23 rear end with positraction! Only 1 repaint. Bring back your childhood youth with this amazing blast from the past! Contact us at 402-332-5868 before it's gone! ","False"
"6329","124679N640904","Chevrolet","Camaro SS","Indy Pace Car","RWD","Automatic","1969","15811","Vinyl     ","Orange","White","8","89988","89988","79988","45432","12/9/2021 12:00:00 AM","","","http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438898589541.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758437826707459.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758437827577515.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758437828447514.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758437829657555.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438016560368.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438017210386.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438017851714.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438018621741.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438019661766.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438194606221.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438196002938.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438197093029.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438198293005.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438199143022.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438350679436.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438379805431.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438380545454.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438382195524.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438383211122.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438491359723.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438492493697.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438493493743.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438494493761.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438495525394.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438571300348.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438571928116.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438572588130.jpg,http://imagescdn.dealercarsearch.com/Media/6329/18295976/637758438573178152.jpg","1/14/2022 5:12:13 PM","Classic Car","350 V8","","","Used","","12/23/2021 8:11:30 AM","This beauty is the REAL DEAL...a genuine 1969 Chevy Camaro SS Indy 500 Pace Car! Original miles, numbers matching 350 with auto transmission. Aftermarket wheels.                                            THIS IS THE HEAD TURNER THAT YOU ARE LOOKING FOR! ONLY 3,675 WERE MADE. This is your chance to own a piece of Americana history!1969 Chevy Camaro Pace Car SSIndy Pace CarWhite topEngine - 350 Small Block400 Turbo TransmissionTires Front- 225/50ZR16 Rear -225/50ZR17Air ConditioningAutomatic TransmissionOrange Houndstooth InteriorConsole with GaugesPower SteeringPower BrakesFront Disc BrakesCowl Induction HoodHideaway headlightsWhite Vinyl Soft TopOrange Racing StripesWhite retractable power top ","False"
"6329","1C4PJMCK4CW152476","Jeep","Liberty","4x4 Limited 4dr SUV","4WD","4-Speed Automatic","2012","15940","","","Not Specified","","0","0","0","112565","1/15/2022 7:22:00 AM","","Memory pkg -inc: driver seat memory,exterior mirror memory,radio memory,3.7L V6 engine,Aux transmission oil cooler,3.73 axle ratio,600-amp maintenance free battery,140-amp alternator,Tip start system,Dana 30/186MM front axle,8.25 solid rear axle,Pwr rack & pinion steering,Hill start assist,Hill descent control,Compact spare tire,Protective coating & remover,Chrome bodyside molding,Bright roof side rails,Bright grille,Deep tint sunscreen glass,Solar control glass,Body color fascias w/bright insert,Rear fascia scuff pad,Body color fender flares,Black door handles,Chrome license plate brow & pocket,Tinted windshield glass,Automatic halogen headlamps w/time-off delay,Fog lamps,Heated fold-away pwr mirrors,Front license plate bracket,Variable intermittent windshield wipers,Rear window wiper/washer,(8) amplified speakers w/subwoofer,Removable short-mast antenna,Bluetooth streaming audio,Heated front seats,Pwr 6-way driver seat w/2-way front passenger seat,Manual driver seat lumbar adjust,Active front seat head restraints,60/40 folding split-recline seat,Front passenger fold-flat-forward seat,Full length floor console,Floor console w/leather armrest,Carpeted floor covering,Luxury front & rear floor mats,Tilt steering wheel,Leather-wrapped steering wheel,Driftwood steering wheel spokes,Steering wheel audio controls,Sentry Key theft-deterrent system,Instrument cluster w/display screen,Premium instrument panel,Universal garage door opener,Vehicle info center,Pwr windows w/1-touch up/down for front windows,Speed control,Air filtering,Illuminated entry,Pwr accessory delay,Security alarm,Rear window defroster,12-volt aux pwr outlet,Illuminated visor vanity mirrors,Luxury door trim panel,Auto-dimming rear view mirror w/microphone,Courtesy lamps,Rear dome lamp,Overhead console,Chrome & leather-wrapped shift knob,Leather-wrapped grab handle,Flipper liftgate glass,Cargo compartment cover,Cargo compartment lamp,Reversible/waterproof cargo storage,Leather-wrapped parking brake boot,Pwr 4-wheel anti-lock disc brakes,Brake assist,Electronic roll mitigation,Dual-note horn,Supplemental front & rear side curtain air bags,Front height adjustable shoulder belts,LATCH-ready child seat anchor system,Child safety rear door locks,Tire pressure monitoring system,Enhanced accident response system","","1/19/2022 6:05:30 AM","Wagon 4 Dr.","3.7","15","21","Used","0","","* 6 Cylinder engine *   * Check out this 2012 Jeep Liberty * * 2012 ** Jeep * * Liberty *  You can't go wrong with this WHITE 2012 Jeep Liberty.  It comes with a 6 Cylinder engine.  The exterior is a classic white.  Want to learn more? Call today for more information.  Give us a call today at 1-800-BUYACAR or 402-332-5868 to set up your test drive. Feel free to TEXT us at 402-669-5961 24 hours a day 7 days a week! We are also available to chat 24/7 on our website, www.gretnaauto.com. Thank you for looking and good luck in your search! ","False"
"6329","1C4RJFBG1FC887150","Jeep","Grand Cherokee","4x4 Limited 4dr SUV","4WD","8-Speed Shiftable Automatic","2015","15807","","","Not Specified","","0","0","26988","89528","12/2/2021 10:03:00 PM","","Engine: 3.6L V6 24V VVT,3.45 Rear Axle Ratio,Normal Duty Suspension,GVWR: 6,500 lbs,50 State Emissions,Automatic Full-Time Four-Wheel Drive,Engine Oil Cooler,700CCA Maintenance-Free Battery w/Run Down Protection,180 Amp Alternator,Towing Equipment -inc: Trailer Sway Control,1270# Maximum Payload,Gas-Pressurized Shock Absorbers,Front And Rear Anti-Roll Bars,Electro-Hydraulic Power Assist Steering,24.6 Gal. Fuel Tank,Single Stainless Steel Exhaust w/Chrome Tailpipe Finisher,Permanent Locking Hubs,Short And Long Arm Front Suspension,Multi-Link Rear Suspension,Steel Spare Wheel,Compact Spare Tire Mounted Inside Under Cargo,Clearcoat Paint,Body-Colored Front Bumper w/Black Rub Strip/Fascia Accent and Chrome Bumper Insert,Body-Colored Rear Step Bumper w/Black Rub Strip/Fascia Accent and Chrome Bumper Insert,Rocker Panel Extensions and Black Wheel Well Trim,Chrome Side Windows Trim and Black Front Windshield Trim,Chrome Door Handles,Chrome Power w/Tilt Down Heated Side Mirrors w/Driver Auto Dimming,Manual Folding and Turn Signal Indicator,Fixed Rear Window w/Fixed Interval Wiper,Heated Wiper Park and Defroster,Deep Tinted Glass,Galvanized Steel/Aluminum Panels,Lip Spoiler,Body-Colored Grille w/Chrome Accents,Power Liftgate Rear Cargo Access,Roof Rack Rails Only,Front Fog Lamps,Perimeter/Approach Lights,LED Brakelights,Laminated Glass,6 Speakers,Graphic Equalizer,Integrated Roof Antenna,GPS Antenna Input,2 LCD Monitors In The Front,60-40 Folding Split-Bench Front Facing Heated Manual Reclining Fold Forward Seatback Leather Rear Seat,Heated Leather/Metal-Look Steering Wheel,Front Cupholder,Rear Cupholder,3 12V DC Power Outlets,Compass,Valet Function,Power Fuel Flap Locking Type,Remote Releases -Inc: Power Fuel,Garage Door Transmitter,Dual Zone Front Automatic Air Conditioning w/Front Infrared,HVAC -inc: Console Ducts,Illuminated Locking Glove Box,Interior Trim -inc: Simulated Wood/Metal-Look Instrument Panel Insert,Simulated Wood Door Panel Insert,Metal-Look Console Insert and Chrome/Metal-Look Interior Accents,Full Cloth Headliner,Leatherette Door Trim Insert,Leather/Metal-Look Gear Shifter Material,Day-Night Rearview Mirror,Driver And Passenger Visor Vanity Mirrors w/Driver And Passenger Illumination,Rear View Auto Dim Mirror w/Microphone,Full Floor Console w/Covered Storage,Mini Overhead Console w/Storage,3 12V DC Power Outlets and 1 120V AC Power Outlet,Front And Rear Map Lights,Fade-To-Off Interior Lighting,Full Carpet Floor Covering -inc: Carpet Front And Rear Floor Mats,Carpet Floor Trim,Cargo Area Concealed Storage,Cargo Features -inc: Cargo Tray/Organizer,Cargo Space Lights,Tracker System,Instrument Panel Covered Bin,Driver / Passenger And Rear Door Bins,Delayed Accessory Power,Systems Monitor,Outside Temp Gauge,Digital/Analog Appearance,Manual Anti-Whiplash Adjustable Front Head Restraints and Fixed Rear Head Restraints,Front Center Armrest w/Storage and Rear Center Armrest,2 Seatback Storage Pockets,Perimeter Alarm,Sentry Key Engine Immobilizer,3 12V DC Power Outlets and 1 120V AC Power Outlet,Air Filtration,Side Impact Beams,Dual Stage Driver And Passenger Seat-Mounted Side Airbags,Rear Parking Sensors,Dual Stage Driver And Passenger Front Airbags,Curtain 1st And 2nd Row Airbags,Airbag Occupancy Sensor,Driver Knee Airbag,Rear Child Safety Locks,Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3 Point,Height Adjusters and Pretensioners,Back-Up Camera","","1/19/2022 6:05:33 AM","Wagon 4 Dr.","3.6","17","24","Used","0","","* 6 Cylinder engine * * GREAT DEAL AT $26,988 *  * Check out this 2015 Jeep Grand Cherokee * * 2015 ** Jeep * * Grand Cherokee *  You can't go wrong with this GRAY 2015 Jeep Grand Cherokee.  It has a 6 Cylinder engine.  The exterior is a beautiful gray.  You can trust this SUV 4X4 because it has a crash test rating of 5 out of 5 stars!  Good cars sell fast! Give us a call and schedule an appointment today!  Give us a call today at 1-800-BUYACAR or 402-332-5868 to set up your test drive. Feel free to TEXT us at 402-669-5961 24 hours a day 7 days a week! We are also available to chat 24/7 on our website, www.gretnaauto.com. Thank you for looking and good luck in your search! ","False"
"6329","1FDZK1CM3FKB30448","Ford","Transit Wagon","Van","RWD","Automatic","2015","15852","","","Not Specified","","0","0","38988","83121","12/22/2021 10:03:00 PM","","3.73 Axle Ratio,GVWR: 8,550 lb Payload Package,50-State Emissions System,Transmission w/Oil Cooler,Rear-Wheel Drive,Engine Oil Cooler,70-Amp/Hr Maintenance-Free Battery w/Run Down Protection,HD 250 Amp Alternator,2890# Maximum Payload,HD Shock Absorbers,Front Anti-Roll Bar,Hydraulic Power-Assist Steering,26 Gal. Fuel Tank,Single Stainless Steel Exhaust,Strut Front Suspension w/Coil Springs,Leaf Rear Suspension w/Leaf Springs,4-Wheel Disc Brakes w/4-Wheel ABS,Front Vented Discs,Brake Assist and Hill Hold Control,Tires: 235/65R16 AS BSW,Steel Spare Wheel,Full-Size Spare Tire Stored Underbody w/Crankdown,Clearcoat Paint,Black Front Bumper,Black Rear Step Bumper,Black Bodyside Cladding and Black Wheel Well Trim,Black Side Windows Trim and Black Front Windshield Trim,Black Door Handles,Fixed Rear Window,Light Tinted Glass,Fully Galvanized Steel Panels,Split Swing-Out Rear Cargo Access,Sliding Rear Passenger Side Door,Radio w/Clock,Fixed Antenna,Passenger Seat,Manual Tilt/Telescoping Steering Column,Gauges -inc: Speedometer,Odometer,Engine Coolant Temp,Tachometer and Trip Odometer,Fixed Rear Windows and Manual Vented 3rd Row Windows,Front Cupholder,Rear Cupholder,HVAC -inc: Underseat Ducts and Headliner/Pillar Ducts,Glove Box,Driver Foot Rest,Interior Trim -inc: Metal-Look Instrument Panel Insert,Full Cloth Headliner,Urethane Gear Shifter Material,Day-Night Rearview Mirror,3 12V DC Power Outlets,Full Overhead Console w/Storage and 3 12V DC Power Outlets,Fade-To-Off Interior Lighting,Cargo Space Lights,Instrument Panel Bin,Driver / Passenger And Rear Door Bins,Power 1st Row Windows w/Driver 1-Touch Down,Analog Appearance,Manual Adjustable Front Head Restraints and Manual Adjustable Rear Head Restraints,Driver & Front Passenger Side Airbags,Side Impact Beams,Low Tire Pressure Warning,Dual Stage Driver And Passenger Front Airbags,Airbag Occupancy Sensor,Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3 Point,Height Adjusters and Pretensioners","","1/19/2022 6:05:52 AM","Van","3.7","0","0","Used","0","","* 6 Cylinder engine * * GREAT DEAL AT $38,988 *  * Check out this 2015 Ford Transit Passenger * * 2015 ** Ford * * Transit Passenger *  You can't go wrong with this WHITE 2015 Ford Transit Passenger.  It comes with a 6 Cylinder engine.  The exterior is a dazzling white.  Want to learn more? Call today for more information.  Give us a call today at 1-800-BUYACAR or 402-332-5868 to set up your test drive. Feel free to TEXT us at 402-669-5961 24 hours a day 7 days a week! We are also available to chat 24/7 on our website, www.gretnaauto.com. Thank you for looking and good luck in your search! ","False"
